code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000400,许继电气,电气设备,河南,20.56,10.08,10.08,158.98,132.12,15.23,6.95,0.69,0.351,8.24,1.75,19970418,60.78,6.03,24.86,80.72,21.44,8.55,74168
000401,冀东水泥,水泥,河北,11.33,13.47,13.48,599.82,174.21,316.94,32.67,2.42,0.67,9.29,1.81,19960614,69.38,5.15,-11.89,-32.95,34.91,7.02,121471
000402,金 融 街,全国地产,北京,41.39,29.88,29.89,1654.95,1135.07,24.39,68.57,2.29,0.084,11.42,0.61,19960626,220.08,7.36,-38.36,-76.13,42.52,4.28,73107
000403,双林生物,生物制药,山西,137.97,4.87,4.92,15.91,10.92,3.65,1.52,0.31,0.128,1.69,20.88,19960628,3.6,0.73,6.3,-18.85,47.14,14.74,11661
000404,长虹华意,专用机械,江西,29.75,6.94,6.96,102.49,79.97,14.78,15.82,2.27,0.069,4.67,0.88,19960619,9.03,1.3,-0.33,0.42,11.17,1.05,31301
000407,胜利股份,供气供热,山东,21.38,8.76,8.8,66.22,21.02,15.52,10.04,1.14,0.089,2.8,1.35,19960703,4.25,0.48,-35.66,-8.45,19.78,4.08,46600
000411,英特集团,医药商业,浙江,26.07,2.07,2.49,113.48,101.65,5.42,4.53,1.82,0.322,6.37,2.63,19960716,8.65,3.47,0.57,-17.73,6.17,0.67,38889
000413,东旭光电,元器件,河北,0,48.64,57.3,661.92,391.14,92.07,218.29,3.81,-0.157,5.19,0.62,19960925,19.14,0.33,-67.31,-206.24,10.52,-32.37,374110
000415,渤海租赁,多元金融,新疆,0,35.47,61.85,2898.3,431.53,2001.17,171.22,2.77,-0.407,5.69,0.51,19960716,96.08,1.55,-8.7,-239.17,33.32,-14.55,96402
000416,民生控股,多元金融,山东,110.55,5.32,5.32,9.26,7.44,0.32,0.28,0.05,0.03,1.66,4.02,19960719,2.73,0.51,-18.64,-15.66,99.92,52.82,39073
000417,合肥百货,百货,安徽,23.23,7.79,7.8,108.12,57.1,20.7,3.09,0.4,0.123,5.13,1.12,19960812,19.29,2.47,-17.66,-29.58,19.38,1.96,31815
000419,通程控股,百货,湖南,13.8,5.43,5.44,48.47,22.72,10.22,4.17,0.77,0.176,5.34,0.91,19960816,12.13,2.23,-30.55,30,21.36,7.75,24398
000420,吉林化纤,化纤,吉林,0,18.5,19.71,89.07,25.37,46.25,13.9,0.71,-0.041,1.49,1.43,19960802,-6.22,-0.32,-23.08,-215.07,14.17,-8.04,82801
000421,南京公用,供气供热,江苏,4.87,5.73,5.73,107.79,60.26,32.9,4.07,0.71,0.703,5.19,1.32,19960806,18.36,3.21,170.5,605.28,28.38,7.58,26289
000423,东阿阿胶,中成药,山东,0,6.54,6.54,111.95,77.76,21.29,6.91,1.06,-0.128,14.71,2.83,19960729,81.58,12.47,-42.06,-143.54,46.03,-7.67,70142
000425,徐工机械,工程机械,江苏,11.63,69.95,78.34,886.14,713.75,77.95,51.35,0.66,0.25,3.84,1.59,19960828,159.32,2.03,12.56,-9.7,18.31,5.88,198827
